Date,Apple Watch stand hours(hr),Exercise time(min),Flights climbed(count),Heart rate(count/min),Resting heart rate(count/min),Stand time(min),Step count(count),Walking heart rate average(count/min)
2019-12-21,15.000,12.000,2.000,75.789,56.000,148.000,8951.000,102.000
2019-12-22,16.000,7.000,10.000,69.850,55.000,209.000,6842.000,100.000
2019-12-23,14.000,14.000,3.000,71.743,56.000,235.000,13723.976,85.000
2019-12-24,14.000,43.000,2.000,75.261,56.000,195.000,13777.000,97.000
2019-12-25,14.000,15.000,1.000,84.221,57.000,371.000,16854.000,104.000
2019-12-26,15.000,11.000,4.000,66.653,56.000,194.000,7649.000,94.500
2019-12-27,13.000,7.000,1.000,74.945,56.000,90.000,5053.000,86.000
2019-12-28,14.000,4.000,1.000,74.338,58.000,125.000,5893.000,99.500
2019-12-29,16.000,5.000,,75.269,56.000,258.000,11494.000,106.000
2019-12-30,17.000,1.000,,67.406,56.000,149.000,5058.000,86.000
2019-12-31,19.000,6.000,2.000,68.289,55.000,229.000,9889.698,97.000
2020-01-01,15.000,10.000,,70.814,54.000,119.000,5547.000,75.000
2020-01-02,14.000,9.000,8.000,74.348,57.000,101.000,5652.196,102.000
2020-01-03,16.000,35.000,10.000,72.663,58.000,203.000,11036.000,88.000
2020-01-04,16.000,11.000,7.000,72.701,59.000,211.000,11979.000,90.500
2020-01-05,15.000,6.000,7.000,69.948,59.000,180.000,8060.000,96.000
2020-01-06,18.000,15.000,2.000,71.069,60.000,184.000,8810.000,104.000
2020-01-07,18.000,9.000,1.000,73.431,62.000,132.000,6334.000,100.000
2020-01-08,16.000,10.000,,72.923,61.000,128.000,7148.000,86.000
2020-01-09,19.000,4.000,,76.851,61.000,93.000,5565.269,100.000
2020-01-10,16.000,4.000,1.000,74.736,64.000,95.000,5867.731,102.000
2020-01-11,15.000,14.000,4.000,72.479,61.000,188.000,10311.000,92.500
2020-01-12,16.000,12.000,7.000,71.636,59.000,120.000,7293.000,95.500
2020-01-13,18.000,7.000,,76.863,59.000,152.000,8045.000,104.000
2020-01-14,17.000,9.000,1.000,71.118,61.000,98.000,6437.000,98.500
2020-01-15,15.000,7.000,1.000,70.897,60.000,79.000,5555.035,104.000
2020-01-16,18.000,6.000,1.000,71.561,62.000,127.000,6392.965,103.000
2020-01-17,15.000,13.000,8.000,75.797,65.000,119.000,7807.000,109.500
2020-01-18,17.000,5.000,6.000,75.985,62.000,149.000,8207.000,109.000
2020-01-19,14.000,10.000,3.000,78.541,64.000,169.000,9015.000,109.500
2020-01-20,17.000,12.000,1.000,76.828,67.000,157.000,7261.000,94.500
2020-01-21,19.000,44.000,2.000,77.934,66.000,213.000,11377.000,95.000
2020-01-22,15.000,15.000,1.000,76.449,62.000,126.000,7482.000,108.000
2020-01-23,17.000,12.000,2.000,78.161,65.000,114.000,7616.000,106.000
2020-01-24,17.000,10.000,1.000,82.080,64.000,130.000,7995.000,110.000
2020-01-25,16.000,7.000,3.000,71.339,57.000,159.000,8454.000,95.000
2020-01-26,16.000,30.000,6.000,81.453,60.000,177.000,9982.000,96.000
2020-01-27,15.000,38.000,3.000,83.129,65.000,150.000,8380.000,102.000
2020-01-28,18.000,38.000,,82.943,67.000,155.000,9481.000,95.000
2020-01-29,14.000,12.000,3.000,78.195,67.000,126.000,7503.000,109.000
2020-01-30,17.000,11.000,4.000,78.147,67.000,102.000,6138.000,106.000
2020-01-31,16.000,15.000,4.000,80.015,68.000,108.000,7506.000,111.000
2020-02-01,16.000,30.000,4.000,85.604,68.000,167.000,9751.000,106.000
2020-02-02,15.000,37.000,6.000,92.219,69.000,120.000,9932.534,134.000
2020-02-03,16.000,30.000,,81.815,66.000,126.000,9161.000,122.000
2020-02-04,15.000,15.000,2.000,77.880,67.000,112.000,7150.000,106.000
2020-02-05,17.000,11.000,1.000,78.168,68.000,130.000,7081.000,105.500
2020-02-06,16.000,11.000,2.000,77.017,62.000,122.000,6836.000,101.000
2020-02-07,16.000,5.000,2.000,75.932,62.000,158.000,8520.000,96.500
2020-02-08,16.000,44.000,10.000,84.497,61.000,191.000,12649.000,97.000
2020-02-09,17.000,33.000,4.000,82.438,60.000,169.000,12202.000,119.000
2020-02-10,17.000,34.000,3.000,81.467,64.000,147.000,10209.000,125.000
2020-02-11,19.000,30.000,3.000,80.831,65.000,147.000,9766.000,116.000
2020-02-12,16.000,39.000,5.000,77.855,66.000,114.000,7235.000,104.000
2020-02-13,16.000,34.000,,78.276,66.000,117.000,7242.000,97.500
2020-02-14,17.000,30.000,2.000,80.499,68.000,134.000,7358.000,102.000
2020-02-15,15.000,2.000,2.000,78.943,59.000,193.000,9640.000,112.000
2020-02-16,17.000,1.000,3.000,73.388,62.000,160.000,8093.147,101.000
2020-02-17,15.000,9.000,2.000,74.470,61.000,111.000,7788.731,95.500
2020-02-18,17.000,12.000,2.000,79.572,67.000,127.000,8259.269,111.000
2020-02-19,15.000,12.000,2.000,73.664,63.000,105.000,6609.000,99.000
2020-02-20,17.000,10.000,,79.825,69.000,104.000,6759.000,106.000
2020-02-21,14.000,11.000,1.000,78.923,69.000,102.000,6832.000,110.000
2020-02-22,16.000,7.000,2.000,79.689,69.000,139.000,7412.000,101.500
2020-02-23,15.000,7.000,5.000,78.329,67.000,206.000,10452.000,98.000
2020-02-24,15.000,14.000,3.000,75.813,62.000,121.000,7907.000,102.000
2020-02-25,16.000,14.000,2.000,75.499,63.000,136.000,8948.000,106.500
2020-02-26,16.000,14.000,5.000,78.647,64.000,135.000,7743.000,101.500
2020-02-27,18.000,15.000,8.000,76.801,68.000,129.000,8985.000,105.500
2020-02-28,16.000,21.000,10.000,79.511,67.000,201.000,10428.000,105.000
2020-02-29,17.000,30.000,10.071,82.838,60.000,312.000,14778.000,97.000
2020-03-01,17.000,11.000,5.000,75.896,63.000,197.000,9158.000,97.000
2020-03-02,15.000,35.000,4.000,89.729,59.000,157.000,11567.000,133.000
2020-03-03,14.000,30.000,2.000,75.585,60.000,137.000,9737.026,84.000
2020-03-04,16.000,34.000,2.000,78.249,57.000,151.000,9478.000,135.000
2020-03-05,15.000,30.000,1.000,72.385,58.000,126.000,7685.000,95.000
2020-03-06,17.000,3.000,7.000,65.725,54.000,145.000,6560.000,86.000
2020-03-07,16.000,7.000,2.000,68.549,53.000,194.000,10930.000,91.500
